name,description,category,price,stock_quantity,unit,image_url
"Premium White Paint","High-quality interior white paint with excellent coverage","Paint",35.99,45,"liter","https://example.com/images/white-paint.jpg"
"Deep Blue Paint","Rich deep blue paint perfect for accent walls","Paint",42.50,30,"liter","https://example.com/images/blue-paint.jpg"
"Forest Green Paint","Natural forest green paint for outdoor projects","Paint",38.75,25,"liter","https://example.com/images/green-paint.jpg"
"Crimson Red Paint","Vibrant crimson red paint for bold statements","Paint",40.00,20,"liter","https://example.com/images/red-paint.jpg"
"Sunset Orange Paint","Warm sunset orange paint for cozy spaces","Paint",36.25,35,"liter","https://example.com/images/orange-paint.jpg"
"Paint Primer White","Essential white primer for paint preparation","Primer",28.99,60,"liter","https://example.com/images/primer.jpg"
"Paint Thinner Standard","Standard paint thinner for cleanup and thinning","Thinner",15.50,80,"liter","https://example.com/images/thinner.jpg"
"Professional Brush Set","Complete set of professional painting brushes","Brush",45.00,25,"piece","https://example.com/images/brush-set.jpg"
"Roller Kit Premium","Premium paint roller kit with multiple heads","Roller",32.75,40,"piece","https://example.com/images/roller-kit.jpg"
"Spray Gun Electric","Electric spray gun for professional finishing","Spray",185.00,10,"piece","https://example.com/images/spray-gun.jpg"
"Drop Cloth Canvas","Heavy-duty canvas drop cloth for protection","Accessory",22.50,50,"piece","https://example.com/images/drop-cloth.jpg"
"Painter's Tape Blue","High-quality blue painter's tape","Accessory",8.99,100,"piece","https://example.com/images/painters-tape.jpg"
"Paint Tray Set","Complete paint tray set with liners","Accessory",12.75,75,"piece","https://example.com/images/paint-tray.jpg"
"Sandpaper Assorted","Assorted grit sandpaper pack","Accessory",18.25,60,"piece","https://example.com/images/sandpaper.jpg"
"Paint Stripper Gel","Effective gel paint stripper for removal","Chemical",24.99,30,"liter","https://example.com/images/paint-stripper.jpg"
